"pqrsds","asunto","categoria","fecha_entrada","fecha_maxima_respuesta","fecha_respuesta"
"PQRSDS 2020146","Viaje mascota","Mascotas","2020-12-17T00:00:00.000","2020-12-27T00:00:00.000","2020-12-21T00:00:00.000"
"PQRSDS 2020147","Como llegar al Aeropuerto","Otros","2020-12-17T00:00:00.000","2020-12-27T00:00:00.000","2020-12-21T00:00:00.000"
"PQRSDS 2020148","Prueba Covid -19","Prueba Covid Internacionales","2020-12-21T00:00:00.000","2021-01-01T00:00:00.000","2020-12-23T00:00:00.000"
"PQRSDS 2020149","Parqueaderos","Parking","2020-12-21T00:00:00.000","2021-01-01T00:00:00.000","2020-12-23T00:00:00.000"
"PQRSDS 2020150","Prueba Covid -19","Prueba Covid Internacionales","2020-12-21T00:00:00.000","2021-01-01T00:00:00.000","2020-12-23T00:00:00.000"
"PQRSDS 2020151","pico y cedula","Otros","2020-12-21T00:00:00.000","2021-01-01T00:00:00.000","2020-12-23T00:00:00.000"
"PQRSDS 2020152","Cedula extraviada","Objetos Perdidos","2020-12-22T00:00:00.000","2021-01-02T00:00:00.000","2020-12-23T00:00:00.000"
"PQRSDS 2021001","Viaje con mascota","Mascotas","2021-01-04T00:00:00.000","2021-01-14T00:00:00.000","2021-01-13T00:00:00.000"
"PQRSDS 2021002","parqueadero del aeropuerto","Parking","2021-01-06T00:00:00.000","2021-01-16T00:00:00.000","2021-01-13T00:00:00.000"
"PQRSDS 2021003","documentos perdidos","Objetos Perdidos","2021-01-07T00:00:00.000","2021-01-17T00:00:00.000","2021-01-13T00:00:00.000"
"PQRSDS 2021004","documentos perdidos","Objetos Perdidos","2021-01-13T00:00:00.000","2021-01-23T00:00:00.000","2021-01-13T00:00:00.000"
"PQRSDS 2021005","documentos perdidos","Objetos Perdidos","2021-01-08T00:00:00.000","2021-01-18T00:00:00.000","2021-01-13T00:00:00.000"
"PQRSDS 2021006","hoja de vida","Hoja de Vida","2021-01-13T00:00:00.000","2021-01-23T00:00:00.000","2021-01-13T00:00:00.000"
"PQRSDS 2021007","hoja de vida","Hoja de Vida","2021-01-13T00:00:00.000","2021-01-23T00:00:00.000","2021-01-13T00:00:00.000"
"PQRSDS 2021008","hoja de vida","Hoja de Vida","2021-01-13T00:00:00.000","2021-01-23T00:00:00.000","2021-01-13T00:00:00.000"
"PQRSDS 2021009","hoja de vida","Hoja de Vida","2021-01-13T00:00:00.000","2021-01-23T00:00:00.000","2021-01-13T00:00:00.000"
"PQRSDS 2021010","prueba Covid-19","Prueba Covid Internacionales","2021-01-13T00:00:00.000","2021-01-23T00:00:00.000","2021-01-13T00:00:00.000"
"PQRSDS 2021011","prueba Covid-19","Prueba Covid Internacionales","2021-01-13T00:00:00.000","2021-01-23T00:00:00.000","2021-01-13T00:00:00.000"
"PQRSDS 2021012","parqueadero del aeropuerto","Parking","2021-01-27T00:00:00.000","2021-02-07T00:00:00.000","2021-01-27T00:00:00.000"
"PQRSDS 2021013","prueba Covid-19","Prueba Covid Internacionales","2021-01-27T00:00:00.000","2021-02-07T00:00:00.000","2021-01-27T00:00:00.000"
"PQRSDS 2021014","prueba Covid-20","Prueba Covid Internacionales","2021-01-28T00:00:00.000","2021-02-08T00:00:00.000","2021-01-27T00:00:00.000"
"PQRSDS 2021015","publicidad","Otros","2021-02-01T00:00:00.000","2021-02-11T00:00:00.000","2021-02-02T00:00:00.000"
"PQRSDS 2021016","parqueadero del aeropuerto","Parking","2021-02-04T00:00:00.000","2021-02-14T00:00:00.000","2021-02-04T00:00:00.000"
"PQRSDS 2021017","objetos perdidos","Objetos Perdidos","2021-02-08T00:00:00.000","2021-02-18T00:00:00.000","2021-02-16T00:00:00.000"
"PQRSDS 2021018","objetos perdidos","Objetos Perdidos","2021-02-08T00:00:00.000","2021-02-18T00:00:00.000","2021-02-16T00:00:00.000"
"PQRSDS 2021019","hoja de vida","Hoja de Vida","2021-02-08T00:00:00.000","2021-02-18T00:00:00.000","2021-02-16T00:00:00.000"
"PQRSDS 2021020","consulta tiquetes","Tiquetes","2021-02-11T00:00:00.000","2021-02-21T00:00:00.000","2021-02-16T00:00:00.000"
"PQRSDS 2021021","parqueadero del aeropuerto","Parking","2021-02-11T00:00:00.000","2021-02-21T00:00:00.000","2021-02-16T00:00:00.000"
"PQRSDS 2021022","prueba covid-19","Prueba Covid Internacionales","2021-02-18T00:00:00.000","2021-02-28T00:00:00.000","2021-02-18T00:00:00.000"
